Date,SP500
730030,1002.6
730033,988.56
730034,984.59
730035,970.68
730036,959.44
730037,984.39
730040,997.71
730041,994.8
730042,1005.53
730043,1047.49
730044,1056.42
730047,1062.39
730048,1063.93
730049,1069.92
730050,1078.48
730051,1070.67
730054,1072.32
730055,1065.34
730056,1068.09
730057,1085.93
730058,1098.67
730061,1111.6
730062,1110.84
730063,1118.67
730064,1133.85
730065,1141.01
730068,1130.2
730069,1128.26
730070,1120.97
730071,1117.69
730072,1125.72
730075,1135.87
730076,1139.32
730077,1144.48
730078,1152.61
730079,1163.55
730082,1188.21
730083,1182.99
730084,1186.87
730085,1189.6
730086,1192.33
730089,1163.63
730090,1175.28
730091,1171.25
730092,1150.14
730093,1176.74
730096,1187.7
730097,1181.38
730098,1183.49
730099,1165.02
730100,1166.46
730103,1141.2
730104,1162.83
730105,1161.94
730106,1179.98
730107,1188.03
730110,1202.84
730111,1203.57
730112,1228.54
730113,1226.27
730114,1225.88
730117,1225.49
730118,1241.81
730119,1231.93
730120,1229.23
730121,1228.665
730124,1228.1
730125,1244.78
730126,1272.34
730127,1269.73
730128,1275.09
730131,1263.88
730132,1239.51
730133,1234.4
730134,1212.19
730135,1243.26
730138,1247.63
730139,1252
730140,1256.62
730141,1235.16
730142,1225.19
730145,1233.98
730146,1252.31
730147,1243.17
730148,1265.37
730149,1279.64
730152,1273
730153,1261.99
730154,1272.07
730155,1248.49
730156,1239.4
730159,1243.77
730160,1216.14
730161,1223.55
730162,1254.04
730163,1230.13
730166,1236
730167,1241.87
730168,1224.03
730169,1237.28
730170,1239.22
730173,1272.14
730174,1271.18
730175,1253.41
730176,1245.02
730177,1238.33
730180,1236.16
730181,1225.5
730182,1227.7
730183,1246.64
730184,1275.47
730187,1282.73
730188,1279.84
730189,1286.84
730190,1297.68
730191,1294.59
730194,1307.26
730195,1306.38
730196,1297.82
730197,1316.55
730198,1299.29
730201,1297.01
730202,1262.14
730203,1268.59
730204,1289.99
730205,1282.8
730208,1310.17
730209,1300.75
730210,1286.37
730211,1293.72
730212,1307.42
730215,1321.12
730216,1317.89
730217,1326.89
730218,1343.98
730219,1348.35
730222,1358.63
730223,1349.82
730224,1328.44
730225,1322.85
730226,1319
730229,1289.48
730230,1306.17
730231,1336.12
730232,1358.82
730233,1356.85
730236,1360.04
730237,1362.8
730238,1350.91
730239,1342.83
730240,1335.18
730243,1354.63
730244,1332
730245,1347.31
730246,1332.05
730247,1345
730250,1340.3
730251,1355.61
730252,1364
730253,1367.56
730254,1337.8
730257,1339.49
730258,1333.32
730259,1344.23
730260,1338.83
730261,1330.29
730264,1306.65
730265,1284.4
730266,1304.76
730267,1281.41
730268,1301.84
730271,1298.05
730272,1294.26
730273,1294.81
730274,1299.54
730275,1327.75
730278,1334.52
730279,1317.33
730280,1318.64
730281,1302.82
730282,1293.64
730285,1294
730286,1301.16
730287,1330.41
730288,1339.9
730289,1342.84
730292,1349
730293,1335.88
730294,1333.06
730295,1315.78
730296,1315.31
730299,1331.35
730300,1351.45
730301,1372.71
730302,1380.96
730303,1391.22
730306,1389.67
730307,1388.12
730308,1395.86
730309,1394.42
730310,1403.28
730313,1399.1
730314,1393.56
730315,1398.17
730316,1409.62
730317,1418.78
730320,1407.65
730321,1377.1
730322,1379.29
730323,1360.97
730324,1356.94
730327,1347.76
730328,1362.84
730329,1365.4
730330,1341.03
730331,1328.72
730334,1328.05
730335,1322.18
730336,1305.33
730337,1313.71
730338,1300.29
730341,1297.8
730342,1281.43
730343,1301.93
730344,1298.16
730345,1327.68
730348,1330.77
730349,1344.16
730350,1332.84
730351,1323.59
730352,1336.61
730355,1360.22
730356,1363.5
730357,1381.79
730358,1362.01
730359,1348.27
730362,1324.02
730363,1320.41
730364,1331.07
730365,1319.11
730366,1357.24
730369,1353.845
730370,1350.45
730371,1344.15
730372,1347.66
730373,1351.66
730376,1344.13
730377,1336.29
730378,1317.97
730379,1318.48
730380,1335.42
730383,1335.53
730384,1307.58
730385,1310.51
730386,1280.41
730387,1277.36
730390,1283.31
730391,1282.2
730392,1268.37
730393,1282.71
730394,1282.81
730397,1304.6
730398,1301.35
730399,1325.4
730400,1317.64
730401,1336.02
730404,1335.21
730405,1313.04
730406,1285.55
730407,1283.42
730408,1247.41
730411,1254.13
730412,1261.32
730413,1289.43
730414,1283.61
730415,1301.65
730418,1293.63
730419,1281.91
730420,1296.71
730421,1342.44
730422,1362.93
730425,1354.12
730426,1347.74
730427,1354.93
730428,1362.64
730429,1370.23
730432,1377.01
730433,1365.28
730434,1373.46
730435,1381.46
730436,1396.06
730439,1394.39
730440,1420.07
730441,1410.71
730442,1424.94
730443,1422
730446,1420.94
730447,1404.64
730448,1417.08
730449,1416.85
730450,1416.62
730453,1407.83
730454,1388.91
730455,1397.72
730456,1409.04
730457,1433.3
730460,1423.33
730461,1409.17
730462,1403.88
730463,1408.11
730464,1417.04
730467,1415.22
730468,1403.17
730469,1413.33
730470,1418.78
730471,1421.03
730474,1418.09
730475,1433.43
730476,1436.13
730477,1458.34
730478,1457.72
730481,1457.1
730482,1457.66
730483,1463.46
730484,1464.47
730485,1469.25
730488,1455.22
730489,1399.42
730490,1402.11
730491,1403.45
730492,1441.47
730495,1457.6
730496,1438.56
730497,1432.25
730498,1449.68
730499,1465.15
730502,1460.145
730503,1455.14
730504,1455.9
730505,1445.57
730506,1441.36
730509,1401.53
730510,1410.03
730511,1404.09
730512,1398.56
730513,1360.16
730516,1394.46
730517,1409.28
730518,1409.12
730519,1424.97
730520,1424.37
730523,1424.24
730524,1441.72
730525,1411.71
730526,1416.83
730527,1387.12
730530,1389.94
730531,1402.05
730532,1387.67
730533,1388.26
730534,1346.09
730537,1349.13
730538,1352.17
730539,1360.69
730540,1353.43
730541,1333.36
730544,1348.05
730545,1366.42
730546,1379.19
730547,1381.76
730548,1409.17
730551,1391.28
730552,1355.62
730553,1366.7
730554,1401.69
730555,1395.07
730558,1383.62
730559,1359.15
730560,1392.14
730561,1458.47
730562,1464.47
730565,1456.63
730566,1493.87
730567,1500.64
730568,1527.35
730569,1527.46
730572,1523.86
730573,1507.73
730574,1508.52
730575,1487.92
730576,1498.58
730579,1505.97
730580,1494.73
730581,1487.37
730582,1501.34
730583,1516.35
730586,1504.46
730587,1500.59
730588,1467.17
730589,1440.51
730590,1356.56
730593,1401.44
730594,1441.61
730595,1427.47
730596,1434.54
730597,1432.2
730600,1429.86
730601,1477.44
730602,1460.99
730603,1464.92
730604,1452.43
730607,1468.25
730608,1446.29
730609,1415.1
730610,1409.57
730611,1432.63
730614,1424.17
730615,1412.14
730616,1383.05
730617,1407.81
730618,1420.96
730621,1452.36
730622,1466.04
730623,1447.8
730624,1437.21
730625,1406.95
730628,1400.72
730629,1373.86
730630,1399.05
730631,1381.52
730632,1378.02
730635,1400.235
730636,1422.45
730637,1420.6
730638,1448.81
730639,1477.26
730642,1467.63
730643,1457.84
730644,1471.36
730645,1461.67
730646,1456.95
730649,1446
730650,1469.44
730651,1470.54
730652,1478.73
730653,1464.46
730656,1486
730657,1475.95
730658,1479.13
730659,1452.18
730660,1441.48
730663,1455.31
730664,1450.55
730665,1454.82
730666,1442.39
730667,1454.6
730670,1469.54
730671,1457.885
730672,1446.23
730673,1456.67
730674,1478.9
730677,1475.62
730678,1480.88
730679,1492.92
730680,1495.84
730681,1509.98
730684,1510.49
730685,1493.74
730686,1481.96
730687,1495.57
730688,1480.19
730691,1464.29
730692,1474.47
730693,1452.42
730694,1449.62
730695,1419.89
730698,1430.83
730699,1438.1
730700,1438.7
730701,1452.56
730702,1462.93
730705,1479.32
730706,1482.8
730707,1472.87
730708,1460.25
730709,1471.84
730712,1491.56
730713,1484.43
730714,1479.85
730715,1496.07
730716,1491.72
730719,1499.48
730720,1498.13
730721,1505.97
730722,1508.31
730723,1506.45
730726,1514.09
730727,1509.84
730728,1502.59
730729,1517.68
730730,1520.77
730733,1513.925
730734,1507.08
730735,1492.25
730736,1502.51
730737,1494.5
730740,1489.26
730741,1481.99
730742,1484.91
730743,1480.87
730744,1465.81
730747,1444.51
730748,1459.9
730749,1451.34
730750,1449.05
730751,1448.72
730754,1439.03
730755,1427.21
730756,1426.57
730757,1458.29
730758,1436.51
730761,1436.23
730762,1426.46
730763,1434.32
730764,1436.28
